2020-03-30 22:48:52
Running ./bm_build
Run on (32 X 4073.84 MHz CPU s)
CPU Caches:
  L1 Data 32K (x16)
  L1 Instruction 32K (x16)
  L2 Unified 1024K (x16)
  L3 Unified 25344K (x2)
Load Average: 4.19, 4.58, 4.24
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"BytesProcessed","NBytes"
"BuildFixture/BuildMarisa/65536",14,4.98637e+07,4.98621e+07,ns,,,,,,2.17578e+07,1.08489e+06
"BuildFixture/BuildMarisa/131072",7,9.79355e+07,9.79324e+07,ns,,,,,,2.216e+07,2.17018e+06
"BuildFixture/BuildMarisa/262144",4,1.90168e+08,1.90158e+08,ns,,,,,,2.28068e+07,4.33691e+06
"BuildFixture/BuildMarisa/524288",2,3.91413e+08,3.914e+08,ns,,,,,,2.21348e+07,8.66356e+06
"BuildFixture/BuildMarisa/1048576",1,8.2854e+08,8.28505e+08,ns,,,,,,2.09192e+07,1.73317e+07
"BuildFixture/BuildMarisa/2097152",1,1.79863e+09,1.79855e+09,ns,,,,,,1.92796e+07,3.46754e+07
"BuildFixture/BuildMarisa/4194304",1,3.76367e+09,3.76351e+09,ns,,,,,,1.84259e+07,6.93461e+07
"BuildFixture/BuildMarisa/5077651",1,4.12665e+09,4.12647e+09,ns,,,,,,1.82732e+07,7.5404e+07
"BuildFixture/BuildDAWG/512",342,1.93907e+06,1.93901e+06,ns,,,,,,4.52448e+06,8773
"BuildFixture/BuildDAWG/1024",187,3.77833e+06,3.77821e+06,ns,,,,,,4.53098e+06,17119
"BuildFixture/BuildDAWG/2048",97,7.39158e+06,7.39135e+06,ns,,,,,,4.58793e+06,33911
"BuildFixture/BuildDAWG/4096",53,1.3599e+07,1.35986e+07,ns,,,,,,4.98273e+06,67758
"BuildFixture/BuildDAWG/8192",27,2.57934e+07,2.57926e+07,ns,,,,,,5.2479e+06,135357
"BuildFixture/BuildDAWG/16384",14,4.94194e+07,4.94178e+07,ns,,,,,,5.47074e+06,270352
"BuildFixture/BuildDAWG/32768",8,9.42715e+07,9.42676e+07,ns,,,,,,5.73343e+06,540476
"BuildFixture/BuildDAWG/65536",4,1.82704e+08,1.82697e+08,ns,,,,,,5.9332e+06,1.08398e+06
"BuildFixture/BuildDAWG/131072",2,3.60556e+08,3.60542e+08,ns,,,,,,6.00751e+06,2.16596e+06
"BuildFixture/BuildDAWG/262144",1,7.34563e+08,7.3454e+08,ns,,,,,,5.9018e+06,4.3351e+06
"BuildFixture/BuildDAWG/524288",1,1.52175e+09,1.5217e+09,ns,,,,,,5.69479e+06,8.66576e+06
"BuildFixture/BuildDAWG/1048576",1,2.84659e+09,2.84649e+09,ns,,,,,,6.09472e+06,1.73486e+07
"BuildFixture/BuildDAWG/2097152",1,5.81449e+09,5.81425e+09,ns,,,,,,5.96335e+06,3.46724e+07
"BuildFixture/BuildDAWG/4194304",1,1.20104e+10,1.20099e+10,ns,,,,,,5.77404e+06,6.93455e+07
"BuildFixture/BuildDAWG/5077651",1,1.29793e+10,1.29788e+10,ns,,,,,,5.80979e+06,7.5404e+07
"BuildFixture/BuildIncNgT/512/1",11,6.47466e+07,6.47439e+07,ns,,,,,,132399,8572
"BuildFixture/BuildIncNgT/1024/1",8,8.44465e+07,8.4444e+07,ns,,,,,,200867,16962
"BuildFixture/BuildIncNgT/2048/1",6,1.19345e+08,1.1934e+08,ns,,,,,,285982,34129
"BuildFixture/BuildIncNgT/4096/1",4,1.77944e+08,1.77936e+08,ns,,,,,,378860,67413
"BuildFixture/BuildIncNgT/8192/1",2,3.08693e+08,3.08683e+08,ns,,,,,,440665,136026
"BuildFixture/BuildIncNgT/16384/1",1,5.54671e+08,5.54647e+08,ns,,,,,,489587,271548
"BuildFixture/BuildIncNgT/32768/1",1,1.09004e+09,1.08999e+09,ns,,,,,,497656,542442
"BuildFixture/BuildIncNgT/65536/1",1,2.20889e+09,2.2088e+09,ns,,,,,,489868,1.08202e+06
"BuildFixture/BuildIncNgT/131072/1",1,4.32755e+09,4.32737e+09,ns,,,,,,499819,2.1629e+06
"BuildFixture/BuildIncNgT/262144/1",1,8.32543e+09,8.32509e+09,ns,,,,,,520793,4.33565e+06
"BuildFixture/BuildIncNgT/524288/1",1,1.72329e+10,1.72322e+10,ns,,,,,,502949,8.6669e+06
"BuildFixture/BuildIncNgT/1048576/1",1,3.3446e+10,3.34447e+10,ns,,,,,,518416,1.73383e+07
"BuildFixture/BuildIncNgT/2097152/1",1,6.50122e+10,6.50096e+10,ns,,,,,,533511,3.46833e+07
"BuildFixture/BuildIncNgT/4194304/1",1,1.3103e+11,1.31025e+11,ns,,,,,,529227,6.93418e+07
"BuildFixture/BuildIncNgT/5077651/1",1,1.59915e+11,1.59909e+11,ns,,,,,,471544,7.5404e+07
